コントロールカラム,商品管理番号（商品URL）,商品名,表示先カテゴリ,優先度,URL,1ページ複数形式
"","trsp-mhs","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】トゥルースリーパー　ひんやりセット　セミダブル <br>【ショップジャパン】<br>","寝具\トゥルースリーパー ひんやりシリーズ","45","http://item.rakuten.co.jp/shopjapan/c/0000000602/","1"
"","trsp-ms","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム<br>シングルもう１枚セット（セミダブル＋シングル）<br>【送料無料＆低反発まくら付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】","お知らせ\あす楽について","161100014","http://item.rakuten.co.jp/shopjapan/c/0000000655/",""
"","trsp-ms","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム<br>シングルもう１枚セット（セミダブル＋シングル）<br>【送料無料＆低反発まくら付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】","寝具\トゥルースリーパー プレミアム","161100014","http://item.rakuten.co.jp/shopjapan/c/0000000742/",""
"","trsp-ms","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム<br>シングルもう１枚セット（セミダブル＋シングル）<br>【送料無料＆低反発まくら付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】","寝具\トゥルースリーパー 商品ラインナップ","161100014","http://item.rakuten.co.jp/shopjapan/c/0000000425/",""
"","trsp-mu","【正規品】トゥルースリーパー プレミアケア（セミダブル）<br>【送料無料＆特典付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","SALE＆キャンペーン\楽天ポイント企画エントリーページ","161100002","http://item.rakuten.co.jp/shopjapan/c/0000000596/",""
"","trsp-mu","【正規品】トゥルースリーパー プレミアケア（セミダブル）<br>【送料無料＆特典付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","寝具\公式/トゥルースリーパー プレミアケア 楽天ポイント貯まる！","161100002","http://item.rakuten.co.jp/shopjapan/c/0000000105/",""
"","trsp-mu","【正規品】トゥルースリーパー プレミアケア（セミダブル）<br>【送料無料＆特典付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","寝具\トゥルースリーパー 商品ラインナップ","161100002","http://item.rakuten.co.jp/shopjapan/c/0000000425/",""
"","trsp-mu-kaiteki","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>《ご購入者様限定★20％OFF》<br>トゥルースリーパー プレミアム（セミダブル）<br>","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","trsp-mu-non","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパープレミアム 敷いたろうスペシャルセット（セミダブル）<br>【低反発マットレス】【トゥルースリーパープレミアム】【ショップジャパン（SHOPJAPAN）】<br>","寝具\【テスト】トゥルースリーパー プレミアム","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000646/",""
"","trsp-mu_ad","【正規品】トゥルースリーパー プレミアケア（セミダブル）<br>【送料無料】<br>【True Sleeper】【マットレス】【低反発マットレス】【日本製】【寝具】【低反発】【ベッド】【ショップジャパン公式（SHOPJAPAN）】","その他","161100002","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","trsp-mu_gendama","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム（セミダブル）<br>2大特典付でもお値段そのまま！<br>送料無料★さらにリラックスCD付き！<br>【低反発マットレス】【ショップジャパン】【gen】","その他","999999992","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","trsp-mu_m","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム（セミダブル）【複数購入用】【送料無料】","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
