コントロールカラム,商品管理番号（商品URL）,商品番号,全商品ディレクトリID,在庫数
"","trs45p_1612","","508183","1"
"","trs_pere_bs_sg","TRSKPBSG","215644","10"
"","trs_pere_bs_si","TRSKPBSI","215644","10"
"","trs_pere_kfk_sg","TRSKPFSG","215644","10"
"","trs_pere_kfk_si","TRSKPFSI","215644","10"
"","trs_pere_ok_mg","TRSKPOMG","215644","10"
"","trs_pere_ok_mi","TRSKPOMI","215644","10"
"","trs_pere_ok_qg","TRSKPOQG","215644","10"
"","trs_pere_ok_qi","TRSKPOQI","215644","10"
"","trs_pere_ok_sg","TRSKPOSG","215644","10"
"","trs_pere_ok_si","TRSKPOSI","215644","10"
"","trs_pere_ok_wg","TRSKPOWG","215644","10"
"","trs_pere_ok_wi","TRSKPOWI","215644","10"
"","trs_pere_pk_g","TRSKPPPG","215644","10"
"","trs_pere_pk_i","TRSKPPPI","215644","10"
"","trs_pk_bard","TRSKBDPP","215644","10"
"","trs_pk_bota","TRSKBTPP","215644","10"
"","trs_pk_mf","TRSKKHPP","215644","10"
"","trs_w_bs_sg","TRSKWBSG","215644","10"
"","trs_w_kfk_sg","TRSKWFSG","215644","10"
"","trs_w_ok_mg","TRSKWOMG","215644","10"
"","trs_w_ok_mr","TRSKWOMR","215644","10"
"","trs_w_ok_qg","TRSKWOQG","215644","10"
"","trs_w_ok_qr","TRSKWOQR","215644","10"
"","trs_w_ok_sg","TRSKWOSG","215644","10"
"","trs_w_ok_sr","TRSKWOSR","215644","10"
"","trs_w_ok_wg","TRSKWOWG","215644","10"
"","trs_w_ok_wr","TRSKWOWR","215644","10"
"","trs_w_pk_g","TRSKWPPG","215644","10"
"","trsa","TRSZ-TPX","205582","99999"
"","trsc-dm","TRS-DPMK","508183","99986"
"","trsc-dm_m","TRS-RPMK","508183","99999"
"","trsc-dw","TRS-DPWK","508183","99989"
"","trsc-dw_m","TRS-RPWK","508183","99999"
"","trsc-m","TRSC-SMC","508183","10"
"","trsc-pm","TRSCCGXM ","215613","99999"
"","trsc-pw","TRSCCGXW","215613","99999"
"","trsc-s","TRSC-STF","508183","8"
"","trsc-smc","TRCF-NMX","508183","99983"
"","trsc-smc_m","TRSC-MRF","508183","99999"
"","trsc-swc","TRCF-NWX","508183","99980"
"","trsc-swc_m","TRSC-WRF","508183","99999"
"","trsc-w","TRSC-SWC","508183","10"
"","trsd_1712_t","RAK-TRSD","508183","9966"
"","trse-exm","TRSE-SMT","508183","99958"
"","trse-exm_m","TRSE-SRM","508183","99998"
"","trse-exs","TRSE-SST","508183","99941"
"","trse-exs_m","TRSE-SRS","508183","99999"
"","trse-exw","TRSE-SWT","508183","99970"
"","trse-exw_m","TRSE-SRW","508183","99999"
"","trse-mar","TRSEMBSC","508183","0"
"","trse-sar","TRSESBSC","508183","0"
"","trse-sbr","TRSE-SCS","508183","99972"
"","trse-war","TRSEWBSC","508183","0"
"","trsefp_1612","","205582","1"
"","trsf-cwe","TRSF-CWE","205582","99970"
"","trsf-kce","TRSF-KCE","205582","99972"
"","trsf-kce_m","TRSF-RCE","205582","99999"
"","trsf-kne","TRSF-NNE","205582","99985"
"","trsf-kne_m","TRSF-RNE","205582","99999"
"","trsf-rch","TRSF-NRC","205582","99947"
"","trsf-rch_m","TRSF-RRC","205582","99995"
"","trsf-wsh","TRSF-NWS","205582","0"
"","trsfps02","TRSFPS02","101801","99996"
"","trsl-nmm","TRSL-CMM","508183","99995"
"","trsl-nmw","TRSL-CMW","508183","99997"
"","trsl-nmx","TRSL-NMX","508183","99999"
"","trsl-nsm","TRSL-CSM","508183","99977"
"","trsl-nss","TRSL-CSS","508183","99862"
"","trsl-nsw","TRSL-CSW","508183","99985"
"","trsl-nsx","TRSL-NSX","508183","99999"
"","trsl-nww","TRSL-CWW","508183","99998"
"","trsl-nwx","TRSL-NWX","508183","99999"
"","trsmf3dp","TRSMF35S","508183","99999"
"","trsp-c2m","TRSSMASR","508183","0"
"","trsp-c2q","TRSSQASR","508183","0"
"","trsp-c2s","TRSSSASR","508183","0"
"","trsp-c2w","TRSSWASR","508183","0"
"","trsp-ch01","TRS-DCKS","215644","20"
"","trsp-ch02","TRS-DCKM","215644","8"
"","trsp-ch03","TRS-DCKW","215644","2"
"","trsp-ch04","TRS-DCKK","215644","2"
"","trsp-ch05","","215644",""
"","trsp-ch06","","215644",""
"","trsp-ch07","","215644",""
"","trsp-ch08","","215644",""
"","trsp-ch09","","215644",""
"","trsp-ch10","","215644",""
"","trsp-ch11","","215644",""
"","trsp-db-fu","TRSP-S0W","508183","99999"
"","trsp-dbc2","TRSSWASR","508183","99978"
"","trsp-dm","TRSPHDMM","508183","99988"
"","trsp-dmq","TRSPHDMQ","508183","99997"
"","trsp-dmw","TRSPHDMW","508183","99998"
"","trsp-dq","TRSPHDQQ","508183","99997"
"","trsp-ds","TRSPHDSS","508183","99930"
"","trsp-dsm","TRSPHDSM","508183","99980"
"","trsp-dsq","TRSPHDSQ","508183","99997"
"","trsp-dsw","TRSPHDSW","508183","99979"
"","trsp-dw","TRSPHDWW","508183","99995"
"","trsp-dwq","TRSPHDWQ","508183","99998"
"","trsp-fs","","215647",""
"","trsp-fw","","215647",""
"","trsp-gsn","TRSS-MAS","508183","99999"
"","trsp-hcm","TRSP-HCM","215644","99999"
"","trsp-hcs","TRSP-HCS","215644","99999"
"","trsp-hcw","TRSP-HCW","215644","99999"
"","trsp-i3-fu","TRSPSC3I","215644","99999"
"","trsp-igm","TRSP-IGM","215644","99999"
"","trsp-igs","TRSP-IGS","215644","99999"
"","trsp-kaitekiw","","215613",""
"","trsp-m","TRSPSMAR","508183","99906"
"","trsp-mhs","TRSP-MHS","215644","99999"
"","trsp-ms","TRSSMBAR","508183","0"
"","trsp-mu","TRCS-NMX","508183","99943"
"","trsp-mu-kaiteki","LP20TRSM","215613","99999"
"","trsp-mu-non","TRSPCTPM","508183","5"
"","trsp-mu_ad","TRCS-NMX","508183","100"
"","trsp-mu_gendama","TRSP-SMU","508183","99999"
"","trsp-mu_m","TRSP-SRM","508183","99993"
"","trsp-mu_up","TRSPSMFS","508183","0"
"","trsp-o3-fu","TRSPSC3C","215644","99999"
"","trsp-q","TRSPSQAR","508183","99956"
"","trsp-qs","TRSSQBAR","508183","0"
"","trsp-qu","TRCS-NQX","508183","99982"
"","trsp-qu-fu","TRSP-S0S","508183","99999"
"","trsp-qu-kaiteki","LP20TRSQ","215613","99999"
"","trsp-qu-non","TRSPCTPQ","508183","5"
"","trsp-qu_ad","TRCS-NQX","508183","100"
"","trsp-qu_gendama","TRSP-SQU","508183","99999"
"","trsp-qu_m","TRSP-SRQ","508183","99998"
"","trsp-qu_up","TRSPSQFS","508183","0"
"","trsp-qwc2","TRSSQASR","508183","99981"
"","trsp-s","TRSPSSAR","508183","99583"
"","trsp-s_1712","RAK-TRSP","508183","0"
"","trsp-s_1712_m","RAK-TRSM","508183","94"
"","trsp-s_1712_w","RAK-TRSW","508183","92"
"","trsp-s_ld","TRSPSSDE","508183","100"
"","trsp-sc2","TRSSSASR","508183","99888"
"","trsp-sd-fu","TRSP-S0M","508183","99999"
"","trsp-sdc2","TRSSMASR","508183","99965"
"","trsp-sg","TRSS-SAS","508183","99999"
"","trsp-sg-fu","TRSP-S0S","508183","99999"
"","trsp-shs","TRSP-SHS","215644","99999"
"","trsp-ss","TRSSSBAR","508183","0"
"","trsp-su","TRCS-NSX","508183","99809"
"","trsp-su-161209","","508183","0"
"","trsp-su-kaiteki","LP20TRSS","215613","99999"
"","trsp-su-non","TRSPCTPS","508183","5"
"","trsp-su_ad","TRCS-NSX","508183","100"
"","trsp-su_b","TRSPSSAR","508183","0"
"","trsp-su_gendama","TRSP-SSU","508183","99999"
"","trsp-su_m","TRSP-SRS","508183","99986"
"","trsp-su_up","TRSPSSFS","508183","0"
"","trsp-susptest","TRSP-SSU","508183","0"
"","trsp-w","TRSPSWAR","508183","99911"
"","trsp-whs","TRSP-WHS","215644","99999"
"","trsp-ws","TRSSWBAR","508183","0"
"","trsp-wu","TRCS-NWX","508183","99933"
"","trsp-wu-kaiteki","LP20TRSW","215613","99999"
"","trsp-wu-non","TRSPCTPW","508183","5"
"","trsp-wu_ad","TRCS-NWX","508183","100"
"","trsp-wu_gendama","TRSP-SWU","508183","99999"
"","trsp-wu_m","TRSP-SRW","508183","99994"
"","trsp-wu_up","TRSPSWFS","508183","0"
"","trsp_1","TRSPCKSS","508183","99999"
"","trsp_1612","","508183","1"
"","trsp_2","TRSPCKSM","508183","99999"
"","trsp_3","TRSPCKSW","508183","99999"
"","trsp_4","TRSPCKSQ","508183","99999"
"","trsp_gold1","TRSPSSAR","508183","99999"
"","trsp_m_ma1","USTRSPAM","508183","10"
"","trsp_ocd","","215644",""
"","trsp_ocm","","215644",""
"","trsp_ocq","","215644",""
"","trsp_ocs","","215644",""
"","trsp_right_01","","508183","0"
"","trsp_s_ma1","USTRSPAS","508183","30"
"","trsp_w_ma1","USTRSPAW","508183","0"
"","trspamm","","215644",""
"","trspamq","","215644",""
"","trspams","","215644",""
"","trspamw","","215644",""
"","trspctbm","TRSPCTBM","508183","99999"
"","trspctbm_teika","TRSPCTBM","508183","5"
"","trspctbq","TRSPCTBQ","508183","99999"
"","trspctbq_teika","TRSPCTBQ","508183","5"
"","trspctbs","TRSPCTBS","508183","99999"
"","trspctbs_teika","TRSPCTBS","508183","5"
"","trspctbw","TRSPCTBW","508183","99999"
"","trspctbw_teika","TRSPCTBW","508183","5"
"","trspctsm","TRSPCTPM","508183","99999"
"","trspctsm_teika","TRSPCTPM","508183","5"
"","trspctsq","TRSPCTPQ","508183","99999"
"","trspctsq_teika","TRSPCTPQ","508183","5"
"","trspctss","TRSPCTPS","508183","99999"
"","trspctss_teika","TRSPCTPS","508183","5"
"","trspctsw","TRSPCTPW","508183","99999"
"","trspctsw_teika","TRSPCTPW","508183","5"
"","trspdksh","","508183","1"
"","trsphmtm","TRSPHMTM","551221","99999"
"","trsphmtq","TRSPHMTQ","551221","99999"
"","trsphmts","TRSPHMTS","551221","99999"
"","trsphmtw","TRSPHMTW","551221","99999"
"","trspkbmb","TRSSMBAR","508183","99991"
"","trspkbmb_gendama","TRSS-MBS","508183","99999"
"","trspkbqb","TRSSQBAR","508183","99999"
"","trspkbqb_gendama","TRSS-QBS","508183","99999"
"","trspkbwb","TRSSWBAR","508183","99997"
"","trspkbwb_gendama","TRSS-WBS","508183","99999"
"","trspkkdm","TRCST0MM","508183","99964"
"","trspkkdm_ad","TRCSNHMM","508183","100"
"","trspkkdq","TRCST0QQ","508183","99997"
"","trspkkdq_ad","TRCSNHQQ","508183","100"
"","trspkkds","TRCST0SS","508183","99718"
"","trspkkds_ad","TRCST0SS","508183","99"
"","trspkkds_b","TRSPKKDS","508183","99997"
"","trspkkdw","TRCST0WW","508183","99976"
"","trspkkdw_ad","TRCSNHWW","508183","100"
"","trspkksm","TRCS-CSM","508183","1"
"","trspkksq","TRCS-CSQ","508183","0"
"","trspkkss","TRCS-CSS","508183","0"
"","trspkksw","TRCS-CSW","508183","0"
"","trspm_out17","US-TRSSM","508183","0"
"","trsps2","TRSSSBAR","508183","99891"
"","trsps2_gendama","TRSS-SBS","508183","99999"
"","trsps_out17","US-TRSSS","508183","2"
"","trsps_out17_b","US-TRSPS","508183","0"
"","trsps_out17_c","US-TRSPS","508183","0"
"","trspsm","","215644",""
"","trspsm30","TRSPSM30","508183","99999"
"","trspsm_m","","215644",""
"","trspsmm","","215644",""
"","trspsmm_m","","215644",""
"","trspsmq","","215644",""
"","trspsmq_m","","215644",""
"","trspsmw","","215644",""
"","trspsmw_m","","215644",""
"","trspsp","","508183","5"
"","trspsq30","TRSPSQ30","508183","99999"
"","trspss30","TRSPSS30","508183","99999"
"","trspsw30","TRSPSW30","508183","99999"
"","trspw_out17","US-TRSSW","508183","0"
"","trspykmq","TRCST0MQ","508183","99994"
"","trspykmq_ad","TRCSNHMQ","508183","100"
"","trspykms","TRCST0SM","508183","99930"
"","trspykms_ad","TRCSNHSM","508183","100"
"","trspykmw","TRCST0MW","508183","99979"
"","trspykmw_ad","TRCSNHMW","508183","100"
"","trspykqs","TRCST0SQ","508183","99986"
"","trspykqs_ad","TRCSNHSQ","508183","100"
"","trspykwq","TRCST0WQ","508183","99998"
"","trspykwq_ad","TRCSNHWQ","508183","100"
"","trspykws","TRCST0SW","508183","99930"
"","trspykws_ad","TRCSNHSW","508183","100"
"","trss","TRSS-NDX","564322","99972"
"","trss-qap","TRSS-QAS","205612","99999"
"","trss-wap","TRSS-WAS","205612","99999"
"","trssf3dp","TRSSF35S","508183","0"
"","trswf3dp","TRSWF35S","508183","99999"
"","trsz-hmn","TRSZ-HMN","551221","99999"
"","trt","TRT-NXR1 ","215317","99949"
"","trt_ht","TRT-NXL1","215317","99991"
"","trt_ry","TRT-NET3","304250","99848"
"","trt_ry_ad","TRT-NET3","215317","289"
"","trt_ry_set","TRT-R2L2","304250","99994"
"","trt_ry_set_ad","TRT-R2L2","215317","300"
"","trt_w","TRT-NET1","215317","99875"
"","trt_w_ad","TRT-NET1","215317","297"
"","trvp_1712_t","RAK-TRVP","215644","70"
"","trwe_sg","TRWE-SST","508183","99904"
"","trwe_sw","TRWE-SMT","508183","99976"
"","trwe_ww","TRWE-SWT","508183","99975"
"","trwg_1712_t","RAK-TRWG","215644","11"
"","twbg_1712_t","RAK-TWBG","215644","17"
"","twog_1712_t","RAK-TWOG","215644","15"
"","ufc5_1712_t","RAK-UFC5","563819","0"
"","ufcf","UFCF3NET","563819","0"
"","ukn-hf-n","UKN-HF-N","402567","0"
"","vsp","","100985",""
"","wcc","WCC-NX00","201867","99981"
"","wcc_1712_a","RAK-WCC1","201867","24"
"","wcc_1712_b","RAK-WCC1","201867","27"
"","wcc_1712_c","RAK-WCC1","201867","41"
"","wcc_1712_t","RAK-WCC1","201867","35"
"","wda","WDA-NXX1","302623","99998"
"","wda-2","WDA-NXW1","302623","99996"
"","wda_out17","FK-WDAXX","302623","24"
"","wdc"," ","204695",""
"","wdc-0107","","101876",""
"","wdc-band","WDC-BDXN","204695","99955"
"","wdc-blue","WDC-BXXN","204695","0"
"","wdc-mats"," ","101876",""
"","wdc-mats-non","WDC-MSRA","204695","5"
"","wdc-non","WDC-RAPF","204695","1"
"","wdc-pers"," ","204695",""
"","wdc-sg-non","WDC-1XRA","204695","5"
"","wdc-six","","204695",""
"","wdc2","WDC2NXNA","204695","99992"
"","wdc2-mat","WDC2NMA0","204695","99990"
"","wdc2-mat_ad","WDC2-NMH","204695","500"
"","wdc2-per","WDC2-NE0","204695","99991"
"","wdc2-per_ad","WDC2-NHH","204695","500"
"","wdc2_1219","RAK-WD22","204695","99984"
"","wdc2_1219a","RAK-WD22","204695","99993"
"","wdc2_1612","","204695","1"
"","wdc2_1712","RAK-WDC2","204695","9983"
"","wdc2_1712_a","RAK-WDC2","204695","9986"
"","wdc2_1712_b","RAK-WDC2","204695","9986"
"","wdc2_1712_c","RAK-WDC2","204695","9990"
"","wdc2_1712_d","RAK-WDC2","204695","9998"
"","wdc2_1712_e","RAK-WDC2","204695","9994"
"","wdc2_1712_t","RAK-WDC2","204695","9910"
"","wdc2_ad","WDC2-NHK","204695","299"
"","wdc2_copy","WDC2X17M","204695","99990"
"","wdc2_m_out","WDC2NMG4","204695","5"
"","wdc2_t_out","WDC2NXG4","204695","58"
"","wdc_1219","RAK-WDCR","204695","115"
"","wdc_1219a","RAK-WDCR","204695","117"
"","wdc_b","","204695",""
"","wdc_gaibu","WDC-1XS0","204695","99999"
"","wdc_gendama","WDC-1XS0","204695","99999"
"","wdc_m_out","WDCNMORW","204695","277"
"","wdc_out17","FK-WDCBX","204695","73"
"","wdc_out17_b","FK-WDCBX","204695","0"
"","wdc_out17_c","FK-WDCBX","204695","0"
"","wdc_red","WDC-RCRD","204695","0"
"","wdc_rtv","WDC-1XS0","204695","99999"
"","wdc_sale","WDC-PERC","204695","99999"
"","wdc_t_out","WDCNXORW","204695","551"
"","wdcpsu","","204695","5"
"","wdcr_bh17","FK-NWDCR","204695","93"
"","wds"," ","204695",""
"","wds-abbb","WDS-ABBB","204695","0"
"","wds-abbg","WDS-ABBG","204695","0"
"","wds-dvd01","WDS-HDVA","563819","99998"
"","wds-dvd01_up","WDS-NHDN","563819","99963"
"","wds-dvd02","WDS-PDVA","563819","99997"
"","wds-dvd02_up","WDS-NPDN","563819","99999"
"","wds-n6ps","WDS-N6PS","204695","5"
"","wds-nbbb","WDS-NBBB","204695","0"
"","wds-nbsg","WDS-NBSG","204695","0"
"","wds-ndar"," ","204695",""
"","wds-ngbb","WDS-NGBB","204695","0"
"","wds-ngbg","WDS-NGBG","204695","0"
"","wds-nobb","WDS-NOBB","204695","0"
"","wds-nobg","WDS-NOBG","204695","0"
"","wds-npbb","WDS-NPBB","204695","0"
"","wds-npbg","WDS-NPBG","204695","0"
"","wds-nrdb","WDS-NRDB","204695","0"
"","wds-nrdg","WDS-NRDG","204695","0"
"","wds-nsbb","WDS-NSBB","204695","0"
"","wds-nsbg","WDS-NSBG","204695","0"
"","wds-ntwx","WDS-NTAR","204695","99901"
"","wds-ntwx_up","WDS-NTWN","204695","99901"
"","wds-nwbb","WDS-NWBB","204695","0"
"","wds-nwbg","WDS-NWBG","204695","0"
"","wds-rmat","WDS-NMAA","101888","99994"
"","wds-rmat_up","WDS-NMAN","101888","99949"
"","wds2","","204695",""
"","wds3","","204695",""
"","wds_1219"," ","204695",""
"","wds_1219a","","204695",""
"","wds_1612_a","","200181","1"
"","wds_1612_b","","200181","1"
"","wds_1712_a","","204695",""
"","wds_30m","","302623",""
"","wds_ad","","204695",""
"","wds_asu","WDS-NDXS","204695","0"
"","wds_c","","204695",""
"","wds_copy","","204695",""
"","wds_cpc1","WDSXGCPC","204695","6"
"","wds_ld","","204695",""
"","wds_ltv","","204695",""
"","wds_m_out","","204695",""
"","wds_ma1","USWDSTBL","204695","0"
"","wds_mat"," ","200181",""
"","wds_mat2","","200181",""
"","wds_mat_ltv","","200181",""
"","wds_mat_so","","200181",""
"","wds_matset","","200181",""
"","wds_matset_ltv","","200181",""
"","wds_matset_so","","200181",""
"","wds_matset_try1","","200181",""
"","wds_matset_try2","","200181",""
"","wds_out17","FK-WDSGX","204695","0"
"","wds_out17_b","FK-WDSGX","204695","0"
"","wds_out17_c","FK-WDSGX","204695","0"
"","wds_pers","","204695","0"
"","wds_pers-2","","204695",""
"","wds_pers-2set"," ","204695",""
"","wds_pers-ss","","204695",""
"","wds_so","","204695",""
"","wds_spset","","204695","1"
"","wds_t_out","","204695",""
"","wds_temp_nosale","","204695","0"
"","wds_twist","","200181",""
"","wdt","","204695",""
"","wdt-ncx0","WDT-NCX0","204695","0"
"","wdt_1011m","","204695",""
"","wdt_ad","","204695",""
"","wdt_mat","","204695",""
"","wgl-e"," ","100985",""
"","wpn-nets","WPN-NSSS","203217","0"
"","wpn-netw","WPN-NWWW","203217","0"
"","wsd","WSD-NSRF","506770","99969"
"","wsd-neck","WSD-NNCA","506770","99999"
"","wsd-p","WSD-NPFF","506770","99966"
"","wsd-scrh","WSD-NSCH","506770","99998"
"","wsd-t","WSD-NTKF","506770","99887"
"","wsn-nms2","WSN-NMS2","503020","0"
"","wsn-nmsk","WSN-NMSK","503020","0"
"","wsn-nxx1","WSN-NXX3","503170","0"
"","wsp","WSP-N8XX","302623","99998"
"","wwc-rak1","WWC-RAK1","101312","125"
"","yrm-xxxx","YRM-CT5X","200181","0"
"","yrmctlat"," ","200181",""
"","ysh-net1","YSH-NET1","101858","99995"
"","ysh-net2","YSH-NET2","101858","99998"
"","zbz-d","ZBZ-N4XX","401611","99991"
"","zbz0_1712_t","RAK-ZBZ0","401611","0"
