コントロールカラム,商品管理番号（商品URL）,商品番号,全商品ディレクトリID,在庫数
"","crff-par","CRFFFPNK","559247","99999"
"","crff-setb","CRFF1180","559247","99974"
"","crff-wake","CRFF7980","559247","796"
"","crff_1612","","559247","1"
"","crff_1712_t","RAK-CRFF","559247","46"
"","crff_btset","","215927","1"
"","crff_ktl","CRFF-KTL","562661","0"
"","crff_ma1","USCRFFTA","559247","0"
"","crfffrnb","CRFFFPN1","559247","99970"
"","crfffrnn","CRFFFPNK","559247","99980"
"","crffnabe","CRFF-990","559247","0"
"","crfp-000","CRFP-000","215927","99999"
"","crfp-148","CRFP148R","215927","99971"
"","crfp-148test","CRFP-111","215927","0"
"","crfp-198","CRFP198R","215927","99986"
"","crfp-fpn","CRFP-FPN","215927","99960"
"","crfp-ktn","CRFP-KTN","215908","99992"
"","crfp-ryt","CRFP-RYT","215913","99994"
"","crfp-sst","CRFP-SST","215927","99988"
"","crfp-tmg","CRFP-TMG","215927","99946"
"","crm-ecar","CRM-S0CJ","302623","0"
"","crm-ed","CRM80KFX","302623","0"
"","crm-edt","CRM-MSKF","302623","0"
"","crm-ekic","CRM-S0KS","302623","0"
"","crm-emer","CRM-S0MM","302623","0"
"","crm-es","CRM-S0SS","302623","0"
"","crv-wkms","CRVRSSTK","215913","75"
"","crv-wktn","CRVRSSBS","215913","113"
"","crystal1","EC-00124","201351","0"
"","cwp-bgsj","CWP-BGSJ","503172","0"
"","cwp-nxxx","CWP-NXXX","503172","0"
"","daf","DAF-RST1","208522","99995"
"","daf-2","DAF-RST2","208522","99982"
"","daf-2-tan","DAF-NET2","208522","99942"
"","daf-tan","DAF-NET1","208522","99991"
"","deal_crfdx-nabe","CRF-NBDL","215913","9995"
"","deal_crff-nabe","CRFF-NBD","559247","9998"
"","deal_hpj15","HI12DE15","111908","0"
"","deal_hpj3","HI12SS30","111908","0"
"","deal_hpj30","HI12DE30","111908","0"
"","deal_hpj6","HI12DE06","111908","0"
"","deal_lgmc","LGMCDEPP","302623","0"
"","deal_smn","SMNNRAAT","212595","0"
"","deal_trs-s3dp","TRS-S35P","508183","9975"
"","double01","TRSPW50W","508183","99999"
"","double02","","508183","0"
"","double03","TRSPN50W","508183","99999"
"","double04","TRSPE50W","508183","99999"
"","drb-best","DRB-BEST","208352","79"
"","dsbt","DSBT-NPX","212421","0"
"","dsbt_mail","DSBTNP50","101856","0"
"","dsn","DSN-5NET","563819","0"
"","dsn-blue","","566092",""
"","dsn-glay","","566092",""
"","dsn-pink","","566092",""
"","dsn-pur","","566092",""
"","dsn5_1712_t","RAK-DSN5","563819","0"
"","dsn_mat","DSN-6NET","563819","0"
"","dsn_out","","563819",""
"","dus-650n","DUS-65NN","204169","0"
"","dus-65ns","DUS-65NH","204169","0"
"","dus-cfw2","DUS-CFW2","204169","99999"
"","dus-cfw3","DUS-CFW3","204169","99999"
"","dus-cfw4","DUS-CFW4","204169","99999"
"","dus-cfw5","DUS-CFW5","204169","99999"
"","dus-ncab","DUS-NCAB","204169","99997"
"","dus-nd65","DUS-ND65","204169","99998"
"","dus-ndim","DUS-NDIM","204169","99991"
"","dus-ng65","DUS-NG65","204169","99992"
"","dus-ngog","DUS-NGOG","204169","99994"
"","dus-ngui","DUS-NGUI","204169","99987"
"","dus-nsti","DUS-NSTI","204169","99993"
"","dus-nt65","DUS-NT65","204169","99996"
"","dus-ntan","DUS-NTAN","204169","99977"
"","dus-nwwx","DUS-NWWX","204169","99999"
"","dus-nxxx","DUS-NKB1","204169","99942"
"","dus-set","DUS-NKB2","204169","99964"
"","dus-syo3","DUS-NKB3","204169","99947"
"","dus-zzzz","DUS-NXXX","204169","99999"
"","ege-nhco","EGE-NHCO","509189","99999"
"","ege-nhcp","EGE-NHCP","509189","99966"
"","ege-o","EGE-NOG2","110894","0"
"","ege-p","EGE-NPV2","110894","99763"
"","ena-1dek","ENA-1DEK","112998","99999"
"","ena-net1","ENA-NET1","101978","99995"
"","ena-nets","ENA-NETS","101978","99998"
"","ena-test","","101978",""
"","ex-matbf"," ","200181",""
"","ex-sauna","EX-SAUNA","204711","99998"
"","face-rrr","FACERKTN","204692","0"
"","fds-100","FDS-100","401519","99999"
"","fds-550s","FDS-RAKN","401519","0"
"","fds-b22","FDSV-B22","401519","0"
"","fds-b3","FDS-B3","401519","0"
"","fds-b44","FDSV-B44","401519","0"
"","fds-scs"," ","401519",""
"","fds-set","FDSV-SET","401519","0"
"","fdsf-dxx","FDSF-DXX","401519","74"
"","fdsv-23","","401519",""
"","fdsv-25","","401519",""
"","fmsp-nx2","ABCR-NXX","204695","99995"
"","gdt","GDT-NGZB","401611","0"
"","gold","gold","508183","0"
"","gur-hf2n","GUR-HF2N","101887","0"
"","gur-hf2n-2","GUR-HF2N","101887","0"
"","gur-hf3n","GUR-HF3N","101887","0"
"","gv-ngf1","BGV-NGF1","403657","0"
"","ha-fj4s3","HI-N3H3Q","111908","99985"
"","ha-fj4s3-test","HA-J3S3V","111908","99999"
"","ha-hot9f"," ","214753",""
"","hb-jsrst","HB-JSRST","111908","99999"
"","hb-jsrst-cp","HB-JSRST","111908","99999"
"","hbc","HBC-RN","111908","0"
"","hd-j2s2o","HI-N2H2Q","111908","99929"
"","hd-j2s2o-test","HA-J2S2V","111908","99999"
"","hd-j3s3s","HJ-DAD--","111908","0"
